unit_id,true_rul,predicted_rul,error,abs_error,percent_error,maintenance_cost,cost_category,risk_level,rul_bin
65,128,151.23840072239096,23.238400722390963,23.238400722390963,18.15500056436794,171243.7528218397,Late,Critical Risk,126-150
66,14,16.19715959372045,2.1971595937204498,2.1971595937204498,15.693997098003212,100000.0,Optimal,Minimal Risk,0-25
67,77,146.37981135417144,69.37981135417144,69.37981135417144,90.10365110931356,350000.0,Late,Critical Risk,76-100
68,8,12.689373713295184,4.6893737132951845,4.6893737132951845,58.617171416189805,100000.0,Optimal,Minimal Risk,0-25
69,121,157.39956145159508,36.399561451595076,36.399561451595076,30.08228219140089,229750.25393221108,Late,Critical Risk,101-125
70,94,90.55431800805198,-3.445681991948021,3.445681991948021,-3.6656191403702354,100000.0,Optimal,Minimal Risk,76-100
71,118,111.70758612772715,-6.292413872272846,6.292413872272846,-5.332554129044785,164620.6936136423,Early,Low Risk,101-125
72,50,63.827668788056855,13.827668788056855,13.827668788056855,27.65533757611371,188276.68788056856,Late,High Risk,26-50
73,131,126.9279347588302,-4.0720652411697955,4.0720652411697955,-3.1084467489845764,100000.0,Optimal,Minimal Risk,126-150
74,126,99.46350321079775,-26.536496789202246,26.536496789202246,-21.0607117374621,1176824.8394601124,Early,Low Risk (Conservative),126-150
75,113,88.94135751354472,-24.058642486455284,24.058642486455284,-21.290834058809985,1052932.124322764,Early,Low Risk (Conservative),101-125
76,10,8.940076282199248,-1.0599237178007517,1.0599237178007517,-10.599237178007517,100000.0,Optimal,Minimal Risk,0-25
77,34,31.5970750558934,-2.4029249441066014,2.4029249441066014,-7.067426306195887,100000.0,Optimal,Minimal Risk,26-50
78,107,128.70295548933785,21.702955489337853,21.702955489337853,20.28313597134379,178051.19387541054,Late,Critical Risk,101-125
79,63,93.91176754148896,30.911767541488956,30.911767541488956,49.066297684903105,305648.9487419758,Late,Critical Risk,51-75
80,90,73.38332487554437,-16.616675124455625,16.616675124455625,-18.46297236050625,680833.7562227813,Early,Low Risk (Conservative),76-100
81,8,3.76470531563256,-4.235294684367441,4.235294684367441,-52.94118355459301,100000.0,Optimal,Minimal Risk,0-25
82,9,9.880754931367722,0.8807549313677221,0.8807549313677221,9.786165904085802,100000.0,Optimal,Minimal Risk,0-25
83,137,141.04970714528446,4.049707145284458,4.049707145284458,2.9559906169959547,100000.0,Optimal,Minimal Risk,126-150
84,58,60.98213638963655,2.982136389636551,2.982136389636551,5.141614464890605,100000.0,Optimal,Minimal Risk,51-75
85,118,175.1901724458672,57.190172445867205,57.190172445867205,48.46624783548068,321144.7984994373,Late,Critical Risk,101-125
86,89,86.67849196594298,-2.321508034057018,2.321508034057018,-2.6084359933224923,100000.0,Optimal,Minimal Risk,76-100
87,116,144.6718608607785,28.67186086077851,28.67186086077851,24.71712143170561,202033.88302059702,Late,Critical Risk,101-125
88,115,135.58078065651372,20.580780656513724,20.580780656513724,17.896331005664106,167742.5245935379,Late,Critical Risk,101-125
89,136,110.49255793554076,-25.50744206445924,25.50744206445924,-18.75547210622003,1125372.103222962,Early,Low Risk (Conservative),126-150
90,28,21.912862735171064,-6.087137264828936,6.087137264828936,-21.739775945817627,154356.8632414468,Early,Low Risk,26-50
91,38,45.33532124840778,7.33532124840778,7.33532124840778,19.303476969494156,130727.91116326026,Late,Moderate Risk,26-50
92,20,21.5055836368445,1.5055836368444986,1.5055836368444986,7.527918184222493,100000.0,Optimal,Minimal Risk,0-25
93,85,64.11902160280967,-20.880978397190333,20.880978397190333,-24.56585693787098,894048.9198595167,Early,Low Risk (Conservative),76-100
94,55,61.15741716423429,6.157417164234289,6.157417164234289,11.195303934971435,110521.97422031172,Late,Moderate Risk,51-75
95,128,124.88650149797846,-3.1134985020215424,3.1134985020215424,-2.43242070470433,100000.0,Optimal,Minimal Risk,126-150
96,137,114.51912362190232,-22.480876378097676,22.480876378097676,-16.40939881612969,974043.8189048838,Early,Low Risk (Conservative),126-150
97,82,95.30373740669518,13.303737406695177,13.303737406695177,16.22407000816485,150632.54516277547,Late,High Risk,76-100
98,59,61.39723807467293,2.397238074672927,2.397238074672927,4.063115380801571,100000.0,Optimal,Minimal Risk,51-75
99,117,120.00642157611048,3.0064215761104833,3.0064215761104833,2.569591090692721,100000.0,Optimal,Minimal Risk,101-125
100,20,19.136262571143263,-0.8637374288567372,0.8637374288567372,-4.318687144283686,100000.0,Optimal,Minimal Risk,0-25
